pdf_page	image_num	type	dimensions	extracted_file
7	0	image	1536x1024	image-000.png
9	1	image	1536x1024	image-001.png
17	2	image	1536x1024	image-002.png
20	3	image	1536x1024	image-003.png
23	4	image	1536x1024	image-004.png
25	5	image	1536x1024	image-005.png
27	6	image	1536x1024	image-006.png
35	7	image	1536x1024	image-007.png
39	8	image	1536x1024	image-008.png
41	9	image	1536x1024	image-009.png
44	10	image	1536x1024	image-010.png
45	11	image	1536x1024	image-011.png
47	12	image	1536x1024	image-012.png
51	13	image	1536x1024	image-013.png
53	14	image	1536x1024	image-014.png
57	15	image	1536x1024	image-015.png
61	16	image	1536x1024	image-016.png
63	17	image	1536x1024	image-017.png
65	18	image	1536x1024	image-018.png
68	19	image	1536x1024	image-019.png
68	20	smask	1536x1024	image-020.png
71	21	image	1536x1024	image-021.png
73	22	image	1536x1024	image-022.png
75	23	image	1536x1024	image-023.png
79	24	image	1536x1024	image-024.png
80	25	image	1536x1024	image-025.png
